title1,blank,href
一课译词：言简意赅,“言简意赅”，汉语成语，形容说话写文章简明扼要。可以翻译为“short but making sense，brief and to the point”等。,//language.chinadaily.com.cn/a/202305/18/WS6465ed03a310b6054fad3c68.html
【双语财讯】专家：中国仍是外商投资热土,博世集团中国总裁陈玉东表示，中国市场在智能化、电动化移动出行、智能制造、可持续发展等众多领域充满潜力和机遇。,//language.chinadaily.com.cn/a/202305/18/WS6465ece6a310b6054fad3c64.html
每日一词∣南南合作知识共享 knowledge-sharing related to South-South cooperation,5月15日，中国-世界粮食计划署南南合作知识共享国际论坛在北京举办,//language.chinadaily.com.cn/a/202305/18/WS646594c4a310b6054fad3b45.html
双语新闻播报（May 17）,今日播报内容：预计今年全球旅游总人次将达到107.8亿；肥皂能驱蚊？研究发现用错肥皂反而更招蚊子。,//language.chinadaily.com.cn/a/202305/17/WS646491c9a310b6054fad386b.html
研究：有氧运动和肌肉训练可降低死于流感和肺炎的风险,有氧运动和肌肉强化训练均达标的人死于流感或肺炎的风险几乎减半，而仅是有氧运动达标的人这一风险降低了36%。,//language.chinadaily.com.cn/a/202305/17/WS646486b3a310b6054fad383e.html
No two ways about it? 别无选择,No two ways about it意思是别无选择，毫无疑问。,//language.chinadaily.com.cn/a/202305/17/WS646485f9a310b6054fad3836.html
一课译词：一刀切,一刀切，比喻用划一的办法处理情况或性质不同的事物。可以翻译为“one-size-fits-all approach”等。,//language.chinadaily.com.cn/a/202305/16/WS6463862ea310b6054fad34da.html
【双语财讯】美国贸易战损招造成多输局面,美国贸易战损害了包括中美在内的各国企业利益和民众福祉，是一条注定走不通的死路，暴露了美国政客的自私算计和反智嘴脸。,//language.chinadaily.com.cn/a/202305/16/WS646372fda310b6054fad34c8.html
每日一词∣2023中关村论坛 2023 Zhongguancun Forum,5月25日至30日，2023中关村论坛将在北京举办。,//language.chinadaily.com.cn/a/202305/16/WS646349eba310b6054fad3497.html
双语新闻播报（May 15）,今日播报内容：AI创作歌曲火出圈 引发音乐行业恐慌；月球上也有玻璃！嫦娥五号月壤中发现天然玻璃纤维。,//language.chinadaily.com.cn/a/202305/15/WS6461ff36a310b6054fad30e7.html
每日一词∣职业教育周 vocational education week,2023年职业教育活动周全国启动仪式暨全国职业院校技能大赛开幕式5月14日在山东潍坊举行。,//language.chinadaily.com.cn/a/202305/15/WS6461f490a310b6054fad30c8.html
【双语财讯】母亲节点燃短途出游热 电商平台销量大涨,“五一”刚结束，紧随而来的母亲节让旅游市场又迎来了一个高峰。许多80后、90后妈妈都选择用本地游和周边游的方式来庆祝节日。,//language.chinadaily.com.cn/a/202305/15/WS6461c972a310b6054fad3037.html
双语新闻播报（May 12）,"今日播报内容：越南现44.1度高温天气 打破历史纪录；90后小伙5天爬五岳！“特种兵旅游”得益于中国发达交通。

",//language.chinadaily.com.cn/a/202305/12/WS645e0c22a310b6054fad2b3e.html
每日一词∣国际护士节International Nurses Day,截至2022年底，全国注册护士总量超过520万人，每千人口注册护士约为3.7人。,//language.chinadaily.com.cn/a/202305/12/WS645e0268a310b6054fad2b25.html
世卫组织宣布猴痘疫情不再构成“国际关注的突发公共卫生事件”,谭德塞表示，得益于各国快速应对，全球在控制猴痘疫情方面取得了稳步进展。过去三个月上报的猴痘病例数比之前三个月减少了近90%。,//language.chinadaily.com.cn/a/202305/12/WS645dff8ba310b6054fad2b03.html
【双语财讯】 美国银行业危机余震持续 “信贷紧缩”致小企业融资困难,近期，美国多家银行倒闭，致使信贷条件进一步收紧，更多小企业称获得贷款的难度加大。,//language.chinadaily.com.cn/a/202304/18/WS643e4c95a310b6054face4f1.html
美报告： 非裔仇恨犯罪增加、黑人历史教育遭抹除 美国黑人权利正受到攻击,调查结果显示，近年来针对黑人的仇恨犯罪、对学校开设黑人历史课程的干扰增加，黑人投票遭到更多阻碍。,//language.chinadaily.com.cn/a/202304/18/WS643e3825a310b6054face49e.html
新研究：吃太多精制碳水化合物和红肉更易患2型糖尿病,虽然精制碳水化合物让我们快乐，红肉可以让身体变强壮，然而新研究发现，这两种食物摄入太多都易导致2型糖尿病。,//language.chinadaily.com.cn/a/202304/18/WS643e072ea310b6054face430.html
一课译词：破旧不堪,破旧不堪，汉语成语，形容破败得十分厉害，可以翻译为“run-down，in very poor condition”等。,//language.chinadaily.com.cn/a/202304/17/WS643d1af2a310b6054face1ab.html
双语新闻播报（April 17）,今日播报内容：《盗梦空间》成真？AI可以读取大脑重现梦境了……；美国强生公司拟支付89亿美元赔款解决产品致癌索赔,//language.chinadaily.com.cn/a/202304/17/WS643d17bfa310b6054face1a5.html
每日一词∣上市公司独立董事制度 independent director system of listed companies,近日，国务院办公厅印发《关于上市公司独立董事制度改革的意见》(以下简称《意见》)。通过改革，推动独立董事权责更加匹配、职能更加优化、监督更加有力、选任管理更加科学，更好发挥上市公司独立董事制度在完善中国特色现代企业制度、健全企业监督体系、推动资本市场健康稳定发展方面的重要作用。,//language.chinadaily.com.cn/a/202304/17/WS643d0a90a310b6054face19d.html
